title,petitionId,signatureCount,signaturesNeeded,signatureProgress,url,created,deadline,description,isSignable,isPublic
"Reinstate all Changes to Wall Street reform","54966bfeee140fbf47000002",383,99617,0.3844725297890922,"https://petitions.whitehouse.gov/petition/reinstate-all-changes-wall-street-reform/3nfxzjkF",2014-12-21T06:45:12.000Z,2015-01-20T06:45:12.000Z,,false,true
"Release Freddie Mac and Fannie Mae from Federal Government Conservatorship","5495620900e5790612000000",1166,98834,1.179755954428638,"https://petitions.whitehouse.gov/petition/release-freddie-mac-and-fannie-mae-federal-government-conservatorship/RmNVw8sB",2014-12-20T12:11:12.000Z,2015-01-19T12:11:12.000Z,,false,true
"Stop all pension cutting State and Federal also SS unless legislators cut their own significantly  FIRST","5492b88fee140f3177000000",401,99599,0.4026144840811655,"https://petitions.whitehouse.gov/petition/stop-all-pension-cutting-state-and-federal-also-ss-unless-legislators-cut-their-own-significantly/QYlfhqby",2014-12-18T11:24:16.000Z,2015-01-17T11:24:16.000Z,,false,true
"Veto H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015 and send it back to Congress.","548ef4c3eab72a3b0f000001",417,99583,0.4187461715353022,"https://petitions.whitehouse.gov/petition/veto-hr-83-consolidated-and-further-continuing-appropriations-act-2015-and-send-it-back-congress/tSrnFHjM",2014-12-15T14:54:29.000Z,2015-01-14T14:54:29.000Z,,false,true
"Put an end to FATCA and stop taxing Americans around the world for simply being American citizens.","548b199d2bcfa3dd0d000000",1435,98565,1.455892050930858,"https://petitions.whitehouse.gov/petition/put-end-fatca-and-stop-taxing-americans-around-world-simply-being-american-citizens/X3PzK5jy",2014-12-12T16:44:36.000Z,2015-01-11T16:44:36.000Z,,false,true
"Require annual gathering and public reporting on all arrest-related deaths in the US through BJS, including demographics","5488670e688938ee7c000000",490,99510,0.4924128228318762,"https://petitions.whitehouse.gov/petition/require-annual-gathering-and-public-reporting-all-arrest-related-deaths-us-through-bjs-including/3JmZgFBB",2014-12-10T15:45:44.000Z,2015-01-09T15:45:44.000Z,,false,true
"Prosecute, to the full extent of the law, all of the parties responsible for the use of torture outlined in CIA report","5487538f6889381748000000",2769,97231,2.847857164895969,"https://petitions.whitehouse.gov/petition/prosecute-full-extent-law-all-parties-responsible-use-torture-outlined-cia-report/17ZgKTtB",2014-12-09T20:02:51.000Z,2015-01-08T20:02:51.000Z,,false,true
"lower or eliminate the registration fee for makers of reusable menstrual products.","5484d340ee140fa744000000",9894,90106,10.98040086120791,"https://petitions.whitehouse.gov/petition/lower-or-eliminate-registration-fee-makers-reusable-menstrual-products/WPPWMmZ0",2014-12-07T22:45:49.000Z,2015-01-06T22:45:49.000Z,,false,true
"Ban all plans to use Washington State's Olympic Peninsula as an Electromagnetic Warfare Range","54836c19688938607e000000",2212,97788,2.262036241665644,"https://petitions.whitehouse.gov/petition/ban-all-plans-use-washington-states-olympic-peninsula-electromagnetic-warfare-range/90jBh3v2",2014-12-06T21:32:10.000Z,2015-01-05T21:32:10.000Z,,false,true
"Stop Japan from Hunting Whales","548109ef00e579ea5c000001",219,99781,0.2194806626512061,"https://petitions.whitehouse.gov/petition/stop-japan-hunting-whales/pq6qsbW7",2014-12-05T01:39:09.000Z,2015-01-04T01:39:09.000Z,,false,true
"Use its resources to secure the immediate release of Luke Somers, an American photojournalist, from his al-Qaeda hosts.","5480ae00a9a0b1d916000000",1604,98396,1.630147566974267,"https://petitions.whitehouse.gov/petition/use-its-resources-secure-immediate-release-luke-somers-american-photojournalist-his-al-qaeda-hosts/ks9bSCSX",2014-12-04T19:18:59.000Z,2015-01-03T19:18:59.000Z,,false,true
"Urge ""Pants Up, Don't Loot!""","547e0a167043015c6e000001",265,99735,0.2657041159071539,"https://petitions.whitehouse.gov/petition/urge-pants-dont-loot/ttnFvWyK",2014-12-03T00:26:09.000Z,2015-01-02T00:26:09.000Z,,false,true
"Call on Vietnam Government to Overturn the Wrongful Capital Murder Conviction of Former College Student Ho Duy Hai","547a4d92704301b305000000",1077,98923,1.088725574436683,"https://petitions.whitehouse.gov/petition/call-vietnam-government-overturn-wrongful-capital-murder-conviction-former-college-student-ho-duy/BNtyc7jZ",2014-11-30T00:09:28.000Z,2014-12-30T00:09:28.000Z,,false,true
"Enact a federal mandate requiring all police and government official proceedings to include a non government prosecutor","54772ad8eab72a821c000000",1023,98977,1.033573456459582,"https://petitions.whitehouse.gov/petition/enact-federal-mandate-requiring-all-police-and-government-official-proceedings-include-non/DJLMFYdC",2014-11-27T15:49:08.000Z,2014-12-27T15:49:08.000Z,,false,true
"Seek justice for DeAndre Joshua, Tamir Rice, Akai Gurley, Darrien Hunt &amp; all other black citizens murdered by police.","5475da4d704301dc04000000",585,99415,0.5884423879696222,"https://petitions.whitehouse.gov/petition/seek-justice-deandre-joshua-tamir-rice-akai-gurley-darrien-hunt-all-other-black-citizens-murdered/6kkKdlQT",2014-11-26T14:06:21.000Z,2014-12-26T14:06:21.000Z,,false,true
"It should be unconstitutional for officers of the law to kill unarmed citizens. Please amend the constitution.","547523f0ee140f5728000000",30050,69950,42.95925661186562,"https://petitions.whitehouse.gov/petition/it-should-be-unconstitutional-officers-law-kill-unarmed-citizens-please-amend-constitution/11s2JFKc",2014-11-26T00:54:00.000Z,2014-12-26T00:54:00.000Z,,false,true
"Bring justice to Michael Brown by federally charging and prosecuting Darren Wilson for first-degree murder","5474810e704301c769000000",129948,0,100,"https://petitions.whitehouse.gov/petition/bring-justice-michael-brown-federally-charging-and-prosecuting-darren-wilson-first-degree-murder/ZgDPWZvc",2014-11-25T13:18:24.000Z,2014-12-25T13:18:24.000Z,,true,true
"Refund the fees to legal immigrants who have applied over the past six years","54716bbf688938fd1e000000",717,99283,0.7221780163774261,"https://petitions.whitehouse.gov/petition/refund-fees-legal-immigrants-who-have-applied-over-past-six-years/1hMzV8Qj",2014-11-23T05:13:41.000Z,2014-12-23T05:13:41.000Z,,false,true
"Pardon the spouses of US Citizens, who are subject to bars.","546f8542eab72a5974000000",704,99296,0.7089912987431518,"https://petitions.whitehouse.gov/petition/pardon-spouses-us-citizens-who-are-subject-bars/1fmXSpQ6",2014-11-21T19:34:56.000Z,2014-12-21T19:34:56.000Z,,false,true
"Support books and reading by having President Obama appear in public holding a book","546cd3086ce61ca037000000",6125,93875,6.524633821571238,"https://petitions.whitehouse.gov/petition/support-books-and-reading-having-president-obama-appear-public-holding-book/58Gcj5wx",2014-11-24T21:57:26.000Z,2014-12-24T21:57:26.000Z,,false,true
"Allow the Christian Brothers High School students in Memphis, TN to wear outerwear containing the CBHS logo and/or name.","546b616aa9a0b1820d000000",217,99783,0.2174719140534961,"https://petitions.whitehouse.gov/petition/allow-christian-brothers-high-school-students-memphis-tn-wear-outerwear-containing-cbhs-logo-andor/STctN7QZ",2014-11-18T15:12:38.000Z,2014-12-18T15:12:38.000Z,,false,true
"stimulate the rainwater-harvesting industry, to convert this underutilized resource into a job-creating economic engine.","54696d4d2bcfa35502000001",1527,98473,1.550678866288221,"https://petitions.whitehouse.gov/petition/stimulate-rainwater-harvesting-industry-convert-underutilized-resource-job-creating-economic-engine/MCLx2rjt",2014-11-17T03:42:24.000Z,2014-12-17T03:42:24.000Z,,false,true
"Make childhood cancer; the number 1 killer by disease of our nation's children, a national health priority.","54678d632bcfa37a77000000",2469,97531,2.531502804236601,"https://petitions.whitehouse.gov/petition/make-childhood-cancer-number-1-killer-disease-our-nations-children-national-health-priority/P7ylzf4Y",2014-11-15T17:34:47.000Z,2014-12-15T17:34:47.000Z,,false,true
"Fix the Warlords of Draenor Server Lag.","54652779ee140f875f000000",2630,97370,2.701037280476533,"https://petitions.whitehouse.gov/petition/fix-warlords-draenor-server-lag/jQDhZSB5",2014-11-13T21:55:29.000Z,2014-12-13T21:55:29.000Z,,false,true
"demand the return of the $400,000 in taxpayer funds paid to Jonathan Gruber for his ""services"" as an ObamaCare Architect","5463f9e6ee140f022b000000",515,99485,0.5176659797959491,"https://petitions.whitehouse.gov/petition/demand-return-400000-taxpayer-funds-paid-jonathan-gruber-his-services-obamacare-architect/4QpXxn2S",2014-11-13T00:32:20.000Z,2014-12-13T00:32:20.000Z,,false,true
"provide Ukraine with deadly military aid.","54625e3ca9a0b17913000000",965,99035,0.9744029888423285,"https://petitions.whitehouse.gov/petition/provide-ukraine-deadly-military-aid/Qf41JgH6",2014-11-11T19:31:25.000Z,2014-12-11T19:31:25.000Z,,false,true
"Give GS pay to TSA","545fa389a9a0b1426b000001",11369,88631,12.82734032110661,"https://petitions.whitehouse.gov/petition/give-gs-pay-tsa/Q7Jv9GMC",2014-11-09T17:31:09.000Z,2014-12-09T17:31:09.000Z,,false,true
"Remove Marijuana from ""Schedule 1""","545c1dfb704301534c000003",2415,97585,2.474765588973715,"https://petitions.whitehouse.gov/petition/remove-marijuana-schedule-1/lqFgx2h7",2014-11-07T01:30:05.000Z,2014-12-07T01:30:05.000Z,,false,true
"Pardon Attorney Warren Ballentine of whom has been falsely convicted.","5459197f6ce61c113f000003",413,99587,0.4147127637141394,"https://petitions.whitehouse.gov/petition/pardon-attorney-warren-ballentine-whom-has-been-falsely-convicted/xYvM6syy",2014-11-04T18:27:12.000Z,2014-12-04T18:27:12.000Z,,false,true
"PROVIDE ADEQUATE RAILROAD CROSSING SAFETY IN VANDALIA, ILLINOIS IN THE NAMES OF CRYSTAL ANNA, ALYSSA, DRAKE, AND ABBIE","54563a46ee140f317a000003",360,99640,0.3613006824568446,"https://petitions.whitehouse.gov/petition/provide-adequate-railroad-crossing-safety-vandalia-illinois-names-crystal-anna-alyssa-drake-and/z81MkpJn",2014-11-02T14:23:21.000Z,2014-12-02T14:23:21.000Z,,false,true
"Save West African child cocoa laborers from the worst forms of child labor","545100b5eab72a0c08000000",295,99705,0.2958728248332581,"https://petitions.whitehouse.gov/petition/save-west-african-child-cocoa-laborers-worst-forms-child-labor/bzFzjZCR",2014-10-29T15:31:32.000Z,2014-11-28T16:31:32.000Z,,false,true
"Make Near-field communication (NFC) payment a mandatory payment option in the USA to protect the privacy of consumers.","544e48306ce61c3e0b000000",727,99273,0.732323995446899,"https://petitions.whitehouse.gov/petition/make-near-field-communication-nfc-payment-mandatory-payment-option-usa-protect-privacy-consumers/jx4fvq7k",2014-10-27T14:38:44.000Z,2014-11-26T15:38:44.000Z,,false,true
"Stop the Expedited Deportation of Unaccompanied Children","544acda1ee140fa13b000000",526,99474,0.528781390111989,"https://petitions.whitehouse.gov/petition/stop-expedited-deportation-unaccompanied-children/tHjHD8hc",2014-10-24T22:29:24.000Z,2014-11-23T23:29:24.000Z,,false,true
"Press charges - Casey Nocket - fines,max community service,jail time,etc. for - http://goo.gl/hY4yQj (defacing NP &amp; NM)","5447ddda2bcfa3c86c000000",12640,87360,14.46886446886447,"https://petitions.whitehouse.gov/petition/press-charges-casey-nocket-finesmax-community-servicejail-timeetc-httpgooglhy4yqj-defacing-np-nm/1y8xJBGm",2014-10-22T16:53:28.000Z,2014-11-21T17:53:28.000Z,,false,true
"Expedite visas for foreign nationals and their families who assist U.S. military fighting terrorism.","5444ceeaadfd950b56000000",2313,97687,2.367766437704096,"https://petitions.whitehouse.gov/petition/expedite-visas-foreign-nationals-and-their-families-who-assist-us-military-fighting-terrorism/lRc7c2BM",2014-10-20T09:03:50.000Z,2014-11-19T10:03:50.000Z,,false,true
"Repeal the Larry P. law (California, 1979) which prohibits using IQ-based testing with African-American children.","54433190ee140fe869000003",365,99635,0.3663371305264214,"https://petitions.whitehouse.gov/petition/repeal-larry-p-law-california-1979-which-prohibits-using-iq-based-testing-african-american-children/H02RJ8ks",2014-10-19T04:02:10.000Z,2014-11-18T05:02:10.000Z,,false,true
"End Workplace Bullying in America","54400533eab72a695e000000",572,99428,0.5752906625900149,"https://petitions.whitehouse.gov/petition/end-workplace-bullying-america/B3Tg8VxR",2014-10-16T18:15:29.000Z,2014-11-15T19:15:29.000Z,,false,true
"I would like to propose a new law called Megans Law. It would require directional spikes on all entrance and exit ramps.","543efdef00e5793171000004",1313,98687,1.330469058741273,"https://petitions.whitehouse.gov/petition/i-would-propose-new-law-called-megans-law-it-would-require-directional-spikes-all-entrance-and-exit/qBmvQp8y",2014-10-15T23:12:30.000Z,2014-11-15T00:12:30.000Z,,false,true
"To Denounce the Unauthorized Violence on Protestors by Hong Kong Police on 14 Oct, 2014","543dcfd3adfd95f242000000",830,99170,0.8369466572552183,"https://petitions.whitehouse.gov/petition/denounce-unauthorized-violence-protestors-hong-kong-police-14-oct-2014/xggFfFts",2014-10-15T01:47:39.000Z,2014-11-14T02:47:39.000Z,,false,true
"SUPPORT ""our nation's 'No Child Left White' policy""!","543b65e06ce61cfa76000001",177,99823,0.1773138455065466,"https://petitions.whitehouse.gov/petition/support-our-nations-no-child-left-white-policy/m5TXKtfm",2014-10-13T05:47:14.000Z,2014-11-12T06:47:14.000Z,,false,true
"Get a memorial skate park built","5437db0a6ce61ca83a000000",262,99738,0.2626882431971766,"https://petitions.whitehouse.gov/petition/get-memorial-skate-park-built/nQh2cHtF",2014-10-10T13:16:59.000Z,2014-11-09T14:16:59.000Z,,false,true
"Allow Tricare to Cover IVF, IUI and all infertility cases for military and their familiy.","5435b060a9a0b1b74d000001",275,99725,0.2757583354224116,"https://petitions.whitehouse.gov/petition/allow-tricare-cover-ivf-iui-and-all-infertility-cases-military-and-their-familiy/LF2hVwF8",2014-10-08T21:49:11.000Z,2014-11-07T22:49:11.000Z,,false,true
"Require that Insurance Companies offer PPO plans to Individuals and small groups in all states.","54340b09ee140fe277000000",249,99751,0.2496215576786198,"https://petitions.whitehouse.gov/petition/require-insurance-companies-offer-ppo-plans-individuals-and-small-groups-all-states/fB1rJ2bL",2014-10-07T15:58:18.000Z,2014-11-06T16:58:18.000Z,,false,true
"Put Cancer ribbons on the White House for every month and not just Breast Cancer Awareness Month.","5431a2ef7043018d6d000003",443,99557,0.4449712225157447,"https://petitions.whitehouse.gov/petition/put-cancer-ribbons-white-house-every-month-and-not-just-breast-cancer-awareness-month/8KdWyRNs",2014-10-05T20:03:46.000Z,2014-11-04T21:03:46.000Z,,false,true
"Unlock public access to research on software safety through DMCA and CFAA reform","542f540f2bcfa3df69000000",1096,98904,1.108145272183127,"https://petitions.whitehouse.gov/petition/unlock-public-access-research-software-safety-through-dmca-and-cfaa-reform/DHzwhzLD",2014-10-04T02:40:15.000Z,2014-11-03T03:40:15.000Z,,false,true
"Have the FAA ban all incoming and outgoing flights to ebola-stricken countries until the ebola outbreak is contained","542c839ca9a0b16133000001",48139,51861,92.82312334895201,"https://petitions.whitehouse.gov/petition/have-faa-ban-all-incoming-and-outgoing-flights-ebola-stricken-countries-until-ebola-outbreak/FFJHH9yX",2014-10-02T01:18:32.000Z,2014-11-01T01:18:32.000Z,,false,true
"Prohibit the billing of customers / consumers for streetlights","542c11662bcfa3c72d000000",2401,97599,2.460066189202758,"https://petitions.whitehouse.gov/petition/prohibit-billing-customers-consumers-streetlights/zbnfSd1m",2014-10-01T14:46:14.000Z,2014-10-31T14:46:14.000Z,,false,true
"Donxt let Hong Kong SAR, China to be another Iraq or Ukraine","542b6e87688938d84d000003",333,99667,0.3341125949411541,"https://petitions.whitehouse.gov/petition/don’t-let-hong-kong-sar-china-be-another-iraq-or-ukraine/fnYLhVHv",2014-10-01T03:02:17.000Z,2014-10-31T03:02:17.000Z,,false,true
"Give H4 visa holders the right to work or own a business","542b5242704301a403000001",212,99788,0.2124503948370546,"https://petitions.whitehouse.gov/petition/give-h4-visa-holders-right-work-or-own-business/wFwpcl68",2014-10-01T01:08:32.000Z,2014-10-31T01:08:32.000Z,,false,true
"Recognize Fibromyalgia as a disability and create funding for research and study.","5429b96cee140f0748000001",7292,92708,7.86555637053976,"https://petitions.whitehouse.gov/petition/recognize-fibromyalgia-disability-and-create-funding-research-and-study/j2P4vnDb",2014-09-29T20:05:01.000Z,2014-10-29T20:05:01.000Z,,false,true
"x
implore the world's people concerned about China of mind control experiments Victims Wang Yan","54276fb0a9a0b18f5b000002",176,99824,0.1763103061388043,"https://petitions.whitehouse.gov/petition/恳求世界人民关注中国精神控制实验受害人王焰-implore-worlds-people-concerned-about-china-mind-control-experiments-victims/k9Kx7tZV",2014-09-28T02:26:16.000Z,2014-10-28T02:26:16.000Z,,false,true
"Stop The Misuse of Our Military - Stop Sending Military to Fight Ebola","542488d1adfd95c255000000",714,99286,0.7191346211953347,"https://petitions.whitehouse.gov/petition/stop-misuse-our-military-stop-sending-military-fight-ebola/bBfcKXC2",2014-09-26T01:50:35.000Z,2014-10-26T01:50:35.000Z,,false,true
"Declare Sickle Cell Disease a national health priority and support legislation to expand and establish SCD programs.","54206cb6704301d91b000000",123941,0,100,"https://petitions.whitehouse.gov/petition/declare-sickle-cell-disease-national-health-priority-and-support-legislation-expand-and-establish/jFgQrMJ7",2014-09-22T21:08:46.000Z,2014-10-22T21:08:46.000Z,,true,true
"implore the world's people concerned about  China  of mind control experiments Victims Wang Yanx","541e2a2c00e579854d000000",170,99830,0.1702894921366323,"https://petitions.whitehouse.gov/petition/implore-worlds-people-concerned-about-china-mind-control-experiments-victims-wang/44tJ6S6x",2014-09-21T01:35:27.000Z,2014-10-21T01:35:27.000Z,,false,true
"Pardon Charly Wingate","541db185a9a0b1ce4f000000",508,99492,0.5105938165882684,"https://petitions.whitehouse.gov/petition/pardon-charly-wingate/HnCj300f",2014-09-20T16:56:06.000Z,2014-10-20T16:56:06.000Z,,false,true
"Officially Recognize BBQ as the National Dish of America","541c4a89a9a0b13734000000",392,99608,0.3935426873343507,"https://petitions.whitehouse.gov/petition/officially-recognize-bbq-national-dish-america/CQv8slWM",2014-09-19T15:25:57.000Z,2014-10-19T15:25:57.000Z,,false,true
"charge the FAA to mandate children under the age of two be restrained in an FAA approved child-safety  seat on planes.","5419ff592f2c88db7e000002",2788,97212,2.867958688227791,"https://petitions.whitehouse.gov/petition/charge-faa-mandate-children-under-age-two-be-restrained-faa-approved-child-safety-seat-planes/ZqgGZ6QK",2014-09-17T22:09:31.000Z,2014-10-17T22:09:31.000Z,,false,true
"ban the declawing of household cats.","5416107badfd95a94f000000",1053,98947,1.064206090129059,"https://petitions.whitehouse.gov/petition/ban-declawing-household-cats/L3PLW92c",2014-09-14T22:11:30.000Z,2014-10-14T22:11:30.000Z,,false,true
"Begin the process of breaking up Comcast, Time Warner and Verizon and the monopoly on internet service they have created","5410d429ee140f654e000001",955,99045,0.964208188197284,"https://petitions.whitehouse.gov/petition/begin-process-breaking-comcast-time-warner-and-verizon-and-monopoly-internet-service-they-have/JgTnpvN6",2014-09-10T22:56:31.000Z,2014-10-10T22:56:31.000Z,,false,true
"Establish emergency policies to treat adrenal crises; timely treatment prevents needless disability and death.","540e82046889383710000000",5644,94356,5.981601593963288,"https://petitions.whitehouse.gov/petition/establish-emergency-policies-treat-adrenal-crises-timely-treatment-prevents-needless-disability-and/xfQ5jnFR",2014-09-09T05:42:08.000Z,2014-10-09T05:42:08.000Z,,false,true
"extend an offer to provide medical treatment and support for injured Ukrainian soldiers.","540a7655a9a0b1800d000000",262,99738,0.2626882431971766,"https://petitions.whitehouse.gov/petition/extend-offer-provide-medical-treatment-and-support-injured-ukrainian-soldiers/vzfPqCSM",2014-09-06T03:00:41.000Z,2014-10-06T03:00:41.000Z,,false,true
"Institute a national trail system interconnecting towns, villages, &amp; cities for pedestrian, bicycle, &amp; equestrian use.","54063dd36889383f7f000000",815,99185,0.8216968291576348,"https://petitions.whitehouse.gov/petition/institute-national-trail-system-interconnecting-towns-villages-cities-pedestrian-bicycle-equestrian/nVGRFRrm",2014-09-02T22:22:14.000Z,2014-10-02T22:22:14.000Z,,false,true
"Create a new federal holiday honoring the U.S. Constitution every September 17, the day it was signed in 1787.","5403e5a1eab72a4c76000001",889,99111,0.8969740997467486,"https://petitions.whitehouse.gov/petition/create-new-federal-holiday-honoring-us-constitution-every-september-17-day-it-was-signed-1787/VYM29mxn",2014-09-01T05:02:12.000Z,2014-10-01T05:02:12.000Z,,false,true
"set the highest priority for safety and care of the minority Yazidi people who are in danger of genocide and sex slavery","53ff3145eab72afd60000005",430,99570,0.4318569850356533,"https://petitions.whitehouse.gov/petition/set-highest-priority-safety-and-care-minority-yazidi-people-who-are-danger-genocide-and-sex-slavery/grM1RjCQ",2014-08-28T13:55:51.000Z,2014-09-27T13:55:51.000Z,,false,true
"To keep its word to improve access to behavioral/mental health care for active duty, veterans, and all Americans.","53fdbc0aa9a0b1824a000001",578,99422,0.5813602623161875,"https://petitions.whitehouse.gov/petition/keep-its-word-improve-access-behavioralmental-health-care-active-duty-veterans-and-all-americans/wXpTRwfZ",2014-08-27T11:17:26.000Z,2014-09-26T11:17:26.000Z,,false,true
"Save the ""Phantom of the Opera"" Stage 28 from destruction and make it a National Historic Landmark.","53fcad1aadfd950670000001",1614,98386,1.640477303681418,"https://petitions.whitehouse.gov/petition/save-phantom-opera-stage-28-destruction-and-make-it-national-historic-landmark/cpb54DWS",2014-08-26T16:06:12.000Z,2014-09-25T16:06:12.000Z,,false,true
"Change regulations for daycares so felons are never allowed to have unsupervised access to children in daycare settings.","53f785b3ee140fdd37000001",345,99655,0.3461943705784958,"https://petitions.whitehouse.gov/petition/change-regulations-daycares-so-felons-are-never-allowed-have-unsupervised-access-children-daycare/VXB1l0rn",2014-08-22T18:20:37.000Z,2014-09-21T18:20:37.000Z,,false,true
"Mandate Neuro-Psychological Testing for all Law Enforcement Applicants and Current Law Enforcement Personnel","53f3cd5e00e5798c0d000001",417,99583,0.4187461715353022,"https://petitions.whitehouse.gov/petition/mandate-neuro-psychological-testing-all-law-enforcement-applicants-and-current-law-enforcement/yqcSp3Ns",2014-08-19T22:32:29.000Z,2014-09-18T22:32:29.000Z,,false,true
